Route_No,Comments_1,Shape_Leng,cdo,twoway,sruface_ch,bollardpro,temporary,mandatory,width,surface_ch,buslane,OBJECTID,datasource,classifica,classifi_1,cyclelane,shareduse,segregated,trafficfre,signedrout,oneside,twoway_sin,oneplus,review,difference,gid,MERGE_SRC,Shape_Le_1
,,254.07106191600,,"0","0","0","0","0",0.00000000000,"0","1","1170",gda_base_cycle_network,buslane,,"0","0","0","0","0","1","0","0","1","1","2099",New Group Layer\Dublin_BikeLife_20200206_Compass_Less_Intersect,254.07106191600
,,222.51346011900,,"0","0","0","0","0",0.00000000000,"1","0","1171",gda_base_cycle_network,surfacechange,,"0","0","0","0","0","0","1","0","1","1","3217",New Group Layer\Dublin_BikeLife_20200206_Compass_Less_Intersect,222.51346011900
,,85.91962870310,,"0","0","0","0","0",0.00000000000,"1","0","1172",gda_base_cycle_network,surfacechange,,"0","0","0","0","0","0","1","0","1","1","3299",New Group Layer\Dublin_BikeLife_20200206_Compass_Less_Intersect,85.91962870310
,,251.02330966300,,"0","0","0","0","0",0.00000000000,"0","1","1173",gda_base_cycle_network,"shareduse;buslane",,"0","1","0","0","0","0","1","1","1","1","3312",New Group Layer\Dublin_BikeLife_20200206_Compass_Less_Intersect,251.02330966300
,,47.44983725280,,"0","0","0","0","0",0.00000000000,"0","0","1174",gda_base_cycle_network,cyclelane,,"1","0","0","0","0","0","1","0","1","1","3416",New Group Layer\Dublin_BikeLife_20200206_Compass_Less_Intersect,47.44983725280
,,244.77195671500,,"0","0","0","0","0",0.00000000000,"0","1","1175",gda_base_cycle_network,"shareduse;buslane",,"0","1","0","0","0","0","1","1","1","1","3420",New Group Layer\Dublin_BikeLife_20200206_Compass_Less_Intersect,244.77195671500
,,39.02297071740,,"0","0","0","0","0",0.00000000000,"1","0","1177",gda_base_cycle_network,surfacechange,,"0","0","0","0","0","0","1","0","1","1","3530",New Group Layer\Dublin_BikeLife_20200206_Compass_Less_Intersect,39.02297071740
,,86.50732588550,,"0","0","0","0","0",0.00000000000,"1","0","1178",gda_base_cycle_network,surfacechange,,"0","0","0","0","0","0","1","0","1","1","3637",New Group Layer\Dublin_BikeLife_20200206_Compass_Less_Intersect,86.50732588550
,,42.58548164270,,"0","0","0","0","0",0.00000000000,"0","0","1179",gda_base_cycle_network,cyclelane,,"1","0","0","0","0","0","1","0","1","1","3738",New Group Layer\Dublin_BikeLife_20200206_Compass_Less_Intersect,42.58548164270
,,72.75529668260,,"0","0","0","0","0",0.00000000000,"1","0","1181",gda_base_cycle_network,surfacechange,,"0","0","0","0","0","0","1","0","1","1","3942",New Group Layer\Dublin_BikeLife_20200206_Compass_Less_Intersect,72.75529668260
